Rider,Team,Times,Gap,Year,Distance (km),Number of stages,TotalSeconds,GapSeconds
FIRMIN LAMBOT,TDF 1919 ***,231h 07' 15'',-,1919,5560,15,832035,0
JEAN ALAVOINE,TDF 1919 ***,232h 50' 09'',+ 01h 42' 54'',1919,5560,15,838209,6174
EUGÈNE CHRISTOPHE,TDF 1919 ***,233h 33' 46'',+ 02h 26' 31'',1919,5560,15,840826,8791
LÉON SCIEUR,TDF 1919 ***,233h 59' 30'',+ 02h 52' 15'',1919,5560,15,842370,10335
HONORÉ BARTHELEMY,TDF 1919 ***,235h 21' 37'',+ 04h 14' 22'',1919,5560,15,847297,15262
JACQUES COOMANS,TDF 1919 ***,246h 28' 49'',+ 15h 21' 34'',1919,5560,15,887329,55294
LUIGI LUCOTTI,TDF 1919 ***,247h 08' 27'',+ 16h 01' 12'',1919,5560,15,889707,57672
JOSEPH VAN DAELE,TDF 1919 ***,249h 30' 17'',+ 18h 23' 02'',1919,5560,15,898217,66182
ALFRED STEUX,TDF 1919 ***,251h 36' 16'',+ 20h 29' 01'',1919,5560,15,905776,73741
JULES NEMPON,TDF 1919 ***,252h 51' 27'',+ 21h 44' 12'',1919,5560,15,910287,78252
PHILIPPE THYS,TDF 1920 ***,228h 36' 13'',-,1920,5503,15,822973,0
HECTOR HEUSGHEM,TDF 1920 ***,229h 33' 34'',+ 00h 57' 21'',1920,5503,15,826414,3441
FIRMIN LAMBOT,TDF 1920 ***,230h 10' 43'',+ 01h 34' 30'',1920,5503,15,828643,5670
LÉON SCIEUR,TDF 1920 ***,230h 16' 06'',+ 01h 39' 53'',1920,5503,15,828966,5993
EMILE ''SENIOR'' MASSON,TDF 1920 ***,231h 28' 00'',+ 02h 51' 47'',1920,5503,15,833280,10307
LOUIS HEUSGHEM,TDF 1920 ***,232h 17' 00'',+ 03h 40' 47'',1920,5503,15,836220,13247
JEAN ROSSIUS,TDF 1920 ***,232h 26' 08'',+ 03h 49' 55'',1920,5503,15,836768,13795
HONORÉ BARTHELEMY,TDF 1920 ***,234h 11' 32'',+ 05h 35' 19'',1920,5503,15,843092,20119
FÉLIX GOETHALS,TDF 1920 ***,237h 59' 20'',+ 09h 23' 07'',1920,5503,15,856760,33787
JOSEPH VAN DAELE,TDF 1920 ***,239h 21' 54'',+ 10h 45' 41'',1920,5503,15,861714,38741
EUGÈNE DHERS,TDF 1920 ***,239h 51' 22'',+ 11h 15' 09'',1920,5503,15,863482,40509
JOSÉ PELLETIER,TDF 1920 ***,248h 40' 45'',+ 20h 04' 32'',1920,5503,15,895245,72272
THÉO WYNSDAU,TDF 1920 ***,253h 50' 15'',+ 25h 14' 02'',1920,5503,15,913815,90842
NOËL AMENC,TDF 1920 ***,262h 02' 00'',+ 33h 25' 47'',1920,5503,15,943320,120347
JOSEPH MULLER,TDF 1920 ***,262h 25' 06'',+ 33h 48' 53'',1920,5503,15,944706,121733
