index Year TotalTDFDistance Stages Start End "Winner of stage" Leader "Yellow Jersey" "Polka-dot jersey" "Green jersey" "White jersey"
155 1919 5560 1 Paris "Le Havre" "Jean Rossius  (Tdf 1919 ***)" NA "Jean Rossius" NA NA NA
156 1919 5560 2 "Le Havre" Cherbourg-en-Cotentin "Henri Pelissier  (Tdf 1919 ***)" NA "Henri Pelissier" NA NA NA
157 1919 5560 3 Cherbourg-en-Cotentin Brest "Francis Pelissier  (Tdf 1919 ***)" NA "Henri Pelissier" NA NA NA
158 1919 5560 4 Brest "Les Sables" "Jean Alavoine  (Tdf 1919 ***)" NA "Eugène Christophe" NA NA NA
159 1919 5560 5 "Les Sables" Bayonne "Jean Alavoine  (Tdf 1919 ***)" NA "Eugène Christophe" NA NA NA
160 1919 5560 6 Bayonne Luchon "Honoré Barthelemy  (Tdf 1919 ***)" NA "Eugène Christophe" NA NA NA
161 1919 5560 7 Luchon Perpignan "Jean Alavoine  (Tdf 1919 ***)" NA "Eugène Christophe" NA NA NA
162 1919 5560 8 Perpignan Marseille "Jean Alavoine  (Tdf 1919 ***)" NA "Eugène Christophe" NA NA NA
163 1919 5560 9 Marseille Nice "Honoré Barthelemy  (Tdf 1919 ***)" NA "Eugène Christophe" NA NA NA
164 1919 5560 10 Nice Grenoble "Honoré Barthelemy  (Tdf 1919 ***)" NA "Eugène Christophe" NA NA NA
165 1919 5560 11 Grenoble Genève "Honoré Barthelemy  (Tdf 1919 ***)" NA "Eugène Christophe" NA NA NA
166 1919 5560 12 Genève Strasbourg "Luigi Lucotti  (Tdf 1919 ***)" NA "Eugène Christophe" NA NA NA
167 1919 5560 13 Strasbourg Metz "Luigi Lucotti  (Tdf 1919 ***)" NA "Eugène Christophe" NA NA NA
168 1919 5560 14 Metz Dunkerque "Firmin Lambot  (Tdf 1919 ***)" NA "Firmin Lambot" NA NA NA
169 1919 5560 15 Dunkerque Paris "Jean Alavoine  (Tdf 1919 ***)" NA "Firmin Lambot" NA NA NA
170 1920 5503 1 Paris "Le Havre" "Louis Mottiat  (Tdf 1920 ***)" NA "Louis Mottiat" NA NA NA
171 1920 5503 2 "Le Havre" Cherbourg-en-Cotentin "Philippe Thys  (Tdf 1920 ***)" NA "Philippe Thys" NA NA NA
172 1920 5503 3 Cherbourg-en-Cotentin Brest "Henri Pelissier  (Tdf 1920 ***)" NA "Philippe Thys" NA NA NA
173 1920 5503 4 Brest "Les Sables" "Henri Pelissier  (Tdf 1920 ***)" NA "Philippe Thys" NA NA NA
174 1920 5503 5 "Les Sables" Bayonne "Firmin Lambot  (Tdf 1920 ***)" NA "Philippe Thys" NA NA NA
175 1920 5503 6 Bayonne Luchon "Firmin Lambot  (Tdf 1920 ***)" NA "Philippe Thys" NA NA NA
176 1920 5503 7 Luchon Perpignan "Jean Rossius  (Tdf 1920 ***)" NA "Philippe Thys" NA NA NA
177 1920 5503 8 Perpignan "Aix en Provence" "Louis Heusghem  (Tdf 1920 ***)" NA "Philippe Thys" NA NA NA
178 1920 5503 9 "Aix en Provence" Nice "Philippe Thys  (Tdf 1920 ***)" NA "Philippe Thys" NA NA NA
179 1920 5503 10 Nice Grenoble "Hector Heusghem  (Tdf 1920 ***)" NA "Philippe Thys" NA NA NA
180 1920 5503 11 Grenoble Gex "Léon Scieur  (Tdf 1920 ***)" NA "Philippe Thys" NA NA NA
181 1920 5503 12 Gex Strasbourg "Philippe Thys  (Tdf 1920 ***)" NA "Philippe Thys" NA NA NA
182 1920 5503 13 Strasbourg Metz "Philippe Thys  (Tdf 1920 ***)" NA "Philippe Thys" NA NA NA
183 1920 5503 14 Metz Dunkerque "Félix Goethals  (Tdf 1920 ***)" NA "Philippe Thys" NA NA NA
184 1920 5503 15 Dunkerque Paris "Jean Rossius  (Tdf 1920 ***)" NA "Philippe Thys" NA NA NA
185 1921 5485 1 Paris "Le Havre" "Louis Mottiat  (Tdf 1921 ***)" NA "Louis Mottiat" NA NA NA
186 1921 5485 2 "Le Havre" Cherbourg-en-Cotentin "Romain Bellenger  (Tdf 1921 ***)" NA "Léon Scieur" NA NA NA
187 1921 5485 3 Cherbourg-en-Cotentin Brest "Léon Scieur  (Tdf 1921 ***)" NA "Léon Scieur" NA NA NA
188 1921 5485 4 Brest "Les Sables" "Louis Mottiat  (Tdf 1921 ***)" NA "Léon Scieur" NA NA NA
189 1921 5485 5 "Les Sables" Bayonne "Louis Mottiat  (Tdf 1921 ***)" NA "Léon Scieur" NA NA NA
190 1921 5485 6 Bayonne Luchon "Hector Heusghem  (Tdf 1921 ***)" NA "Léon Scieur" NA NA NA
191 1921 5485 7 Luchon Perpignan "Louis Mottiat  (Tdf 1921 ***)" NA "Léon Scieur" NA NA NA
192 1921 5485 8 Perpignan Toulon "Luigi Lucotti  (Tdf 1921 ***)" NA "Léon Scieur" NA NA NA
193 1921 5485 9 Toulon Nice "Firmin Lambot  (Tdf 1921 ***)" NA "Léon Scieur" NA NA NA
194 1921 5485 10 Nice Grenoble "Léon Scieur  (Tdf 1921 ***)" NA "Léon Scieur" NA NA NA
195 1921 5485 11 Grenoble Genève "Félix Goethals  (Tdf 1921 ***)" NA "Léon Scieur" NA NA NA
196 1921 5485 12 Genève Strasbourg NA NA "Léon Scieur" NA NA NA
197 1921 5485 13 Strasbourg Metz "Félix Sellier  (Tdf 1921 ***)" NA "Léon Scieur" NA NA NA
198 1921 5485 14 Metz Dunkerque "Félix Goethals  (Tdf 1921 ***)" NA "Léon Scieur" NA NA NA
199 1921 5485 15 Dunkerque Paris "Félix Goethals  (Tdf 1921 ***)" NA "Léon Scieur" NA NA NA
200 1922 5375 1 Paris "Le Havre" "Robert Jacquinot  (Tdf 1922 ***)" NA "Robert Jacquinot" NA NA NA
201 1922 5375 2 "Le Havre" Cherbourg-en-Cotentin "Romain Bellenger  (Tdf 1922 ***)" NA "Robert Jacquinot" NA NA NA
202 1922 5375 3 Cherbourg-en-Cotentin Brest "Robert Jacquinot  (Tdf 1922 ***)" NA "Robert Jacquinot" NA NA NA
203 1922 5375 4 Brest "Les Sables" "Philippe Thys  (Tdf 1922 ***)" NA "Eugène Christophe" NA NA NA
