"id","type","genotype","treatment"
"fraction_1","purified_cardiomyocytes",NA,NA
"fraction_2","purified_cardiomyocytes",NA,NA
"fraction_3","purified_cardiomyocytes",NA,NA
"fraction_4","purified_cardiomyocytes",NA,NA
"fraction_5","purified_cardiomyocytes",NA,NA
"fraction_6","purified_fibroblasts",NA,NA
"fraction_7","purified_fibroblasts",NA,NA
"fraction_8","purified_fibroblasts",NA,NA
"fraction_9","purified_fibroblasts",NA,NA
"fraction_10","purified_fibroblasts",NA,NA
"fraction_11","purified_cardiomyocytes",NA,NA
"fraction_12","purified_cardiomyocytes",NA,NA
"fraction_13","purified_cardiomyocytes",NA,NA
"fraction_14","purified_cardiomyocytes",NA,NA
"fraction_15","purified_endothelial_cells",NA,NA
"fraction_16","purified_endothelial_cells",NA,NA
"fraction_17","purified_endothelial_cells",NA,NA
"fraction_18","purified_fibroblasts",NA,NA
"fraction_19","purified_fibroblasts",NA,NA
"fraction_20","purified_fibroblasts",NA,NA
"whole_1","whole_tissue","WT","MI"
"whole_2","whole_tissue","WT","MI"
"whole_3","whole_tissue","WT","MI"
"whole_4","whole_tissue","WT","MI"
"whole_5","whole_tissue","WT","Sham"
"whole_6","whole_tissue","WT","Sham"
"whole_7","whole_tissue","WT","Sham"
"whole_8","whole_tissue","WT","Sham"
"whole_9","whole_tissue","cmAKO","MI"
"whole_10","whole_tissue","cmAKO","MI"
"whole_11","whole_tissue","cmAKO","MI"
"whole_12","whole_tissue","cmAKO","MI"
"whole_13","whole_tissue","cmAKO","Sham"
"whole_14","whole_tissue","cmAKO","Sham"
"whole_15","whole_tissue","cmAKO","Sham"
"whole_16","whole_tissue","cmAKO","Sham"
