RIDER,TEAM,TIMES,GAP,B,P,distance so far
TADEJ POGAČAR,UAE TEAM EMIRATES,52H 40' 58'',-,32',,"""2291.4"""
REMCO EVENEPOEL,SOUDAL QUICK-STEP,52H 42' 04'',+ 00H 01' 06'',14',,"""2291.4"""
JONAS VINGEGAARD HANSEN,TEAM VISMA | LEASE A BIKE,52H 42' 12'',+ 00H 01' 14'',20',,"""2291.4"""
JOAO ALMEIDA,UAE TEAM EMIRATES,52H 45' 18'',+ 00H 04' 20'',,,"""2291.4"""
CARLOS RODRIGUEZ,INEOS GRENADIERS,52H 45' 38'',+ 00H 04' 40'',,,"""2291.4"""
MIKEL LANDA MEANA,SOUDAL QUICK-STEP,52H 46' 36'',+ 00H 05' 38'',,,"""2291.4"""
ADAM YATES,UAE TEAM EMIRATES,52H 47' 57'',+ 00H 06' 59'',,,"""2291.4"""
GIULIO CICCONE,LIDL-TREK,52H 48' 34'',+ 00H 07' 36'',,,"""2291.4"""
DEREK GEE,ISRAEL - PREMIER TECH,52H 48' 52'',+ 00H 07' 54'',04',,"""2291.4"""
MATTEO JORGENSON,TEAM VISMA | LEASE A BIKE,52H 49' 54'',+ 00H 08' 56'',,,"""2291.4"""
FELIX GALL,DECATHLON AG2R LA MONDIALE TEAM,52H 50' 16'',+ 00H 09' 18'',,00' 20'',"""2291.4"""
SANTIAGO BUITRAGO SANCHEZ,BAHRAIN VICTORIOUS,52H 50' 39'',+ 00H 09' 41'',,,"""2291.4"""
EGAN BERNAL GOMEZ,INEOS GRENADIERS,52H 51' 16'',+ 00H 10' 18'',,,"""2291.4"""
BEN HEALY,EF EDUCATION - EASYPOST,52H 53' 06'',+ 00H 12' 08'',,,"""2291.4"""
STEFF CRAS,TOTALENERGIES,52H 53' 14'',+ 00H 12' 16'',,,"""2291.4"""
JAVIER ROMO OLIVER,MOVISTAR TEAM,52H 56' 39'',+ 00H 15' 41'',,,"""2291.4"""
JAI HINDLEY,RED BULL - BORA - HANSGROHE,53H 00' 23'',+ 00H 19' 25'',,,"""2291.4"""
JACK HAIG,BAHRAIN VICTORIOUS,53H 01' 30'',+ 00H 20' 32'',,,"""2291.4"""
GUILLAUME MARTIN GUYONNET,COFIDIS,53H 01' 34'',+ 00H 20' 36'',,,"""2291.4"""
LAURENS DE PLUS,INEOS GRENADIERS,53H 01' 40'',+ 00H 20' 42'',,,"""2291.4"""
SIMON YATES,TEAM JAYCO ALULA,53H 03' 32'',+ 00H 22' 34'',,,"""2291.4"""
ODD CHRISTIAN EIKING,UNO-X MOBILITY,53H 13' 36'',+ 00H 32' 38'',,,"""2291.4"""
ENRIC MAS NICOLAU,MOVISTAR TEAM,53H 13' 55'',+ 00H 32' 57'',,,"""2291.4"""
WILCO KELDERMAN,TEAM VISMA | LEASE A BIKE,53H 13' 57'',+ 00H 32' 59'',,,"""2291.4"""
ILAN VAN WILDER,SOUDAL QUICK-STEP,53H 14' 14'',+ 00H 33' 16'',,,"""2291.4"""
JULIEN BERNARD,LIDL-TREK,53H 14' 34'',+ 00H 33' 36'',,,"""2291.4"""
GERAINT THOMAS,INEOS GRENADIERS,53H 18' 10'',+ 00H 37' 12'',,,"""2291.4"""
CARLOS VERONA QUINTANILLA,LIDL-TREK,53H 20' 21'',+ 00H 39' 23'',,,"""2291.4"""
LOUIS MEINTJES,INTERMARCHÉ - WANTY,53H 20' 22'',+ 00H 39' 24'',,,"""2291.4"""
VALENTIN MADOUAS,GROUPAMA-FDJ,53H 24' 36'',+ 00H 43' 38'',,00' 40'',"""2291.4"""
RICHARD CARAPAZ,EF EDUCATION - EASYPOST,53H 28' 55'',+ 00H 47' 57'',,,"""2291.4"""
TOMS SKUJINS,LIDL-TREK,53H 32' 05'',+ 00H 51' 07'',,,"""2291.4"""
PAVEL SIVAKOV,UAE TEAM EMIRATES,53H 35' 04'',+ 00H 54' 06'',,,"""2291.4"""
CHRIS HARPER,TEAM JAYCO ALULA,53H 35' 22'',+ 00H 54' 24'',,,"""2291.4"""
ROMAIN BARDET,TEAM DSM-FIRMENICH POSTNL,53H 36' 09'',+ 00H 55' 11'',10',,"""2291.4"""
TOM PIDCOCK,INEOS GRENADIERS,53H 36' 33'',+ 00H 55' 35'',06',,"""2291.4"""
WARREN BARGUIL,TEAM DSM-FIRMENICH POSTNL,53H 38' 19'',+ 00H 57' 21'',,,"""2291.4"""
BRUNO ARMIRAIL,DECATHLON AG2R LA MONDIALE TEAM,53H 39' 10'',+ 00H 58' 12'',,,"""2291.4"""
TIESJ BENOOT,TEAM VISMA | LEASE A BIKE,53H 43' 17'',+ 01H 02' 19'',,,"""2291.4"""
NELSON OLIVEIRA,MOVISTAR TEAM,53H 43' 48'',+ 01H 02' 50'',,,"""2291.4"""
FRANK VAN DEN BROEK,TEAM DSM-FIRMENICH POSTNL,53H 45' 49'',+ 01H 04' 51'',06',,"""2291.4"""
ROMAIN GREGOIRE,GROUPAMA-FDJ,53H 46' 30'',+ 01H 05' 32'',,,"""2291.4"""
EDGAR OSCAR ONLEY,TEAM DSM-FIRMENICH POSTNL,53H 48' 56'',+ 01H 07' 58'',,,"""2291.4"""
MICHAL KWIATKOWSKI,INEOS GRENADIERS,53H 51' 20'',+ 01H 10' 22'',,,"""2291.4"""
RUI COSTA,EF EDUCATION - EASYPOST,53H 52' 46'',+ 01H 11' 48'',,,"""2291.4"""
WOUT VAN AERT,TEAM VISMA | LEASE A BIKE,53H 52' 47'',+ 01H 11' 49'',16',,"""2291.4"""
MAXIM VAN GILS,LOTTO DSTNY,53H 53' 00'',+ 01H 12' 02'',,,"""2291.4"""
DAVIDE FORMOLO,MOVISTAR TEAM,53H 55' 29'',+ 01H 14' 31'',,,"""2291.4"""
