"","Cardiomyocytes","Fibroblast","Endothelial.Cells","Macrophage","Pericytes.SMC"
"whole_2",0.65164969,0.0885645,0.06700452,0.1760598,0.0167215
"fraction_13",0.824353884,0.037022134,0.063869994,0.069172675,0.005581313
"fraction_12",0.89541195,0.02126763,0.04436158,0.03895884,0
"fraction_19",0,0.998327097,0.001672903,0,0
"fraction_18",0,1,0,0,0
"whole_16",0.81961758,0.02082482,0.08889015,0.05008898,0.02057847
"whole_15",0.8063097,0.05104593,0.06240449,0.05619694,0.02404295
"whole_12",0.61756035,0.12684619,0.05248245,0.17305772,0.03005329
"fraction_14",0.9276312543,0.0086145933,0.0415955272,0.0219796009,0.0001790243
"whole_8",0.79372756,0.03987984,0.06818584,0.05241109,0.04579566
"whole_14",0.78562554,0.04609233,0.09596174,0.0532534,0.01906698
"whole_3",0.40398165,0.29398214,0,0.27772047,0.02431574
"fraction_9",0,0.998327545,0.001672455,0,0
"fraction_11",0.771728856,0.06261174,0.059881996,0.098142516,0.007634891
"whole_6",0.81300532,0.03392164,0.06865983,0.06694146,0.01747175
"fraction_16",0.0196175424,0.0006123971,0.9321661797,0.0004802008,0.0471236801
"fraction_8",0,0.96976556,0.00913595,0.02109849,0
"whole_4",0.60344468,0.13296988,0.05518191,0.18343867,0.02496487
"fraction_5",0.94572603,0.0128728,0.02151797,0.0198832,0
"fraction_1",0.91146767,0.0159971,0.03976535,0.03276989,0
"whole_10",0.743699106,0.060104071,0.008954729,0.152371158,0.034870936
"fraction_10",0,0.993854164,0.005004414,0.001141422,0
"whole_7",0.7924777,0.04785745,0.06518524,0.05920135,0.03527826
"whole_5",0.80415211,0.03346971,0.06349791,0.06046464,0.03841563
"whole_9",0.69670878,0.09924188,0.05663835,0.1334594,0.01395158
"fraction_6",0,0.897576,0.01375279,0.01838331,0.0702879
"fraction_3",0.897837127,0.016487439,0.044574887,0.033901352,0.007199195
"fraction_17",0.0135309734,0.0040585825,0.9279722981,0.0003139822,0.0541241638
"whole_1",0.508404046,0.256950016,0.004433461,0.167332655,0.062879822
"whole_13",0.74671494,0.0668418,0.08708681,0.07321253,0.02614392
"fraction_7",0,0.995566068,0.001110064,0.001602752,0.001721116
"fraction_4",0.868915399,0.050759855,0.023534601,0.05244883,0.004341316
"whole_11",0.73557358,0.03585585,0.06929533,0.12685693,0.03241831
"fraction_20",0,0.996727837,0,0.003272163,0
"fraction_2",0.94145524,0.01181459,0.0265611,0.02016908,0
"fraction_15",0.022439821,0.002313311,0.922095131,0.001892639,0.051259098
