update,condition,minimal_avg.fitness,minimal_avg.offspring.cost,minimal_avg.energy.acq.rate,minimal_pop.size,selective_avg.fitness,selective_avg.offspring.cost,selective_avg.energy.acq.rate,selective_pop.size,rich_avg.fitness,rich_avg.offspring.cost,rich_avg.energy.acq.rate,rich_pop.size
0,wildtype-only,0.358778626,131,47,1,0.248677249,189,47,1,0.358778626,131,47,1
1,wildtype-only,0.358778626,131,47,1,0.248677249,189,47,1,0.358778626,131,47,1
2,wildtype-only,0.358778626,131,47,1,0.248677249,189,47,1,0.358778626,131,47,1
3,wildtype-only,0.358778626,131,47,1,0.248677249,189,47,1,0.358778626,131,47,1
4,wildtype-only,0.358778626,131,47,2,0.248677249,189,47,1,0.358778626,131,47,2
5,wildtype-only,0.358778626,131,47,2,0.248677249,189,47,1,0.358778626,131,47,2
6,wildtype-only,0.358778626,131,47,2,0.248677249,189,47,2,0.358778626,131,47,2
7,wildtype-only,0.358778626,131,47,2,0.248677249,189,47,2,0.358778626,131,47,2
8,wildtype-only,0.358778626,131,47,3,0.248677249,189,47,2,0.358778626,131,47,3
9,wildtype-only,0.358778626,131,47,4,0.248677249,189,47,2,0.358778626,131,47,4
10,wildtype-only,0.358778626,131,47,4,0.248677249,189,47,2,0.358778626,131,47,4
11,wildtype-only,0.358778626,131,47,4,0.248677249,189,47,2,0.358778626,131,47,4
12,wildtype-only,0.358778626,131,47,4,0.248677249,189,47,4,0.358778626,131,47,5
13,wildtype-only,0.358778626,131,47,7,0.248677249,189,47,4,0.358778626,131,47,7
14,wildtype-only,0.358778626,131,47,8,0.248677249,189,47,4,0.358778626,131,47,8
15,wildtype-only,0.358778626,131,47,8,0.248677249,189,47,4,0.358778626,131,47,8
16,wildtype-only,0.358778626,131,47,8,0.248677249,189,47,4,0.358778626,131,47,9
17,wildtype-only,0.358778626,131,47,9,0.248677249,189,47,4,0.358778626,131,47,11
18,wildtype-only,0.358778626,131,47,15,0.248677249,189,47,4,0.358778626,131,47,14
19,wildtype-only,0.358778626,131,47,16,0.248677249,189,47,8,0.358778626,131,47,16
20,wildtype-only,0.358778626,131,47,16,0.248677249,189,47,8,0.358778626,131,47,16
21,wildtype-only,0.358778626,131,47,16,0.248677249,189,47,8,0.358778626,131,47,18
22,wildtype-only,0.358778626,131,47,23,0.248677249,189,47,8,0.358778626,131,47,23
23,wildtype-only,0.358778626,131,47,29,0.248677249,189,47,8,0.358778626,131,47,30
24,wildtype-only,0.358778626,131,47,29,0.248677249,189,47,8,0.358778626,131,47,31
25,wildtype-only,0.358778626,131,47,29,0.248677249,189,47,13,0.358778626,131,47,33
26,wildtype-only,0.358778626,131,47,31,0.248677249,189,47,15,0.358778626,131,47,37
27,wildtype-only,0.35865508,131.0454545,47,44,0.248677249,189,47,16,0.358778626,131,47,43
28,wildtype-only,0.358662966,131.0425532,47,47,0.248677249,189,47,16,0.358833823,130.98,47,50
29,wildtype-only,0.358662966,131.0425532,47,47,0.248677249,189,47,16,0.3588317,130.9807692,47,52
