update,condition,minimal_avg-fitness,minimal_avg-offspring-cost,minimal_avg-energy-acq-rate,minimal_pop-size,selective_avg-fitness,selective_avg-offspring-cost,selective_avg-energy-acq-rate,selective_pop-size,rich_avg-fitness,rich_avg-offspring-cost,rich_avg-energy-acq-rate,rich_pop-size
0,mutant-only,0.183206107,262,48,1,0.366412214,262,96,1,0.183206107,262,48,1
1,mutant-only,0.183206107,262,48,1,0.366412214,262,96,1,0.183206107,262,48,1
2,mutant-only,0.183206107,262,48,1,0.366412214,262,96,1,0.183206107,262,48,1
3,mutant-only,0.183206107,262,48,1,0.366412214,262,96,1,0.183206107,262,48,1
4,mutant-only,0.183206107,262,48,1,0.366412214,262,96,1,0.183206107,262,48,1
5,mutant-only,0.183206107,262,48,1,0.366412214,262,96,1,0.183206107,262,48,1
6,mutant-only,0.183206107,262,48,1,0.366412214,262,96,1,0.183206107,262,48,1
7,mutant-only,0.183206107,262,48,1,0.366412214,262,96,1,0.183206107,262,48,1
8,mutant-only,0.183206107,262,48,2,0.366412214,262,96,2,0.183206107,262,48,2
9,mutant-only,0.183206107,262,48,2,0.366412214,262,96,2,0.183206107,262,48,2
10,mutant-only,0.183206107,262,48,2,0.366412214,262,96,2,0.183206107,262,48,2
11,mutant-only,0.183206107,262,48,2,0.366412214,262,96,2,0.183206107,262,48,2
12,mutant-only,0.183206107,262,48,2,0.366412214,262,96,2,0.183206107,262,48,2
13,mutant-only,0.183206107,262,48,2,0.366412214,262,96,2,0.183206107,262,48,2
14,mutant-only,0.183206107,262,48,2,0.366412214,262,96,2,0.183206107,262,48,2
15,mutant-only,0.183206107,262,48,2,0.366412214,262,96,2,0.183206107,262,48,2
16,mutant-only,0.183206107,262,48,2,0.366412214,262,96,2,0.183206107,262,48,2
17,mutant-only,0.183206107,262,48,3,0.366412214,262,96,4,0.183206107,262,48,4
18,mutant-only,0.183206107,262,48,4,0.366412214,262,96,4,0.183206107,262,48,4
19,mutant-only,0.183206107,262,48,4,0.366412214,262,96,4,0.183206107,262,48,4
20,mutant-only,0.183206107,262,48,4,0.366412214,262,96,4,0.183206107,262,48,4
21,mutant-only,0.183206107,262,48,4,0.366412214,262,96,4,0.183206107,262,48,4
22,mutant-only,0.183206107,262,48,4,0.366412214,262,96,4,0.183206107,262,48,4
